Frame,Left_X,Left_Y,Right_X,Right_Y
0,380.5,282.25,290.5,280.5
1,380.0,283.5,293.0,282.25
2,380.75,283.0,290.0,283.0
3,382.0,283.0,290.0,282.0
4,381.5,282.0,289.0,281.25
5,382.25,282.0,290.0,281.0
6,382.0,281.0,289.0,280.5
7,380.75,281.0,290.25,280.75
8,381.75,281.0,289.75,280.0
9,380.75,281.0,290.5,279.5
10,381.25,281.0,290.5,279.5
11,380.75,281.0,291.25,280.0
12,381.5,281.0,291.25,279.0
13,382.25,281.0,291.5,280.0
14,380.0,281.5,290.5,280.5
15,380.25,277.0,291.25,277.5
16,381.5,272.5,295.0,271.25
17,383.25,264.5,298.0,265.25
18,384.5,256.5,299.25,258.0
19,384.75,250.25,302.0,252.75
20,386.5,245.0,302.0,246.5
21,387.0,241.0,304.0,241.5
22,387.0,237.5,304.5,237.5
23,388.0,235.0,305.25,234.5
24,388.0,233.25,306.25,232.5
25,389.0,232.75,307.0,230.5
26,389.5,232.0,308.0,230.25
27,390.0,232.0,308.5,228.5
28,389.25,231.0,309.0,228.5
29,389.5,230.75,307.5,227.75
30,389.25,230.75,309.0,227.75
31,389.0,231.0,309.5,227.5
32,389.75,230.75,310.25,227.5
33,390.0,230.75,310.5,227.0
34,391.0,230.25,310.75,227.0
35,391.5,230.75,311.25,227.0
36,391.0,231.0,311.75,227.0
37,392.0,231.0,312.0,227.0
38,392.75,231.0,311.75,227.0
39,392.5,231.75,312.5,227.25
40,393.0,231.75,312.75,227.5
41,393.0,232.5,312.75,227.75
42,392.75,232.75,312.5,228.0
43,393.0,232.25,313.25,228.0
44,393.75,233.0,313.5,228.25
45,392.75,233.25,312.5,229.0
46,393.5,233.0,313.25,229.25
47,393.5,234.5,312.0,229.25
48,393.0,235.75,312.5,231.25
49,392.25,236.25,312.0,231.75
50,393.25,235.5,310.75,231.0
51,394.25,235.5,311.5,231.25
52,395.0,235.5,312.5,231.5
53,397.0,235.5,317.5,230.75
54,401.0,234.5,320.5,230.5
55,405.5,233.5,326.0,229.75
56,411.0,232.75,334.0,228.75
57,416.0,232.5,340.75,228.5
58,421.5,231.75,346.5,227.75
59,426.0,232.5,350.5,227.75
60,428.75,232.75,354.25,227.75
61,431.0,232.75,356.5,227.5
62,431.75,233.0,357.5,228.0
63,433.5,233.0,359.0,227.5
64,435.0,233.5,359.75,227.75
65,435.0,233.0,360.5,227.75
66,435.25,233.0,362.0,226.75
67,434.5,233.0,361.5,227.0
68,435.25,233.5,362.5,227.5
69,435.0,233.5,360.5,227.75
70,431.0,233.5,359.0,229.0
71,426.75,235.5,352.0,229.5
72,423.25,235.75,345.5,229.5
73,418.75,236.25,337.5,228.75
74,415.75,235.0,332.5,228.5
75,409.75,235.5,326.5,229.0
76,404.0,235.5,318.5,228.75
77,397.75,234.75,315.5,229.5
78,393.5,235.5,312.0,229.5
79,388.5,234.75,308.5,229.25
80,384.0,235.25,303.25,229.75
81,376.5,235.0,296.5,230.5
82,377.25,235.25,296.25,230.0
83,373.5,235.75,293.0,230.5
84,371.25,235.75,291.0,230.75
85,369.75,236.5,289.25,231.5
86,368.25,236.25,286.75,231.5
87,366.25,235.5,283.5,231.5
88,362.75,235.5,281.5,231.25
89,360.5,235.75,280.0,230.5
90,359.25,236.25,279.0,231.5
91,359.0,235.5,278.25,230.5
92,358.0,235.5,278.25,230.5
93,358.25,235.5,277.5,231.5
94,359.0,235.5,278.75,231.5
95,358.5,236.5,278.75,231.5
96,359.5,236.5,279.25,232.0
97,362.5,236.0,280.75,231.5
98,364.25,235.75,283.0,231.75
99,366.75,235.75,287.75,231.5
100,372.5,235.25,292.5,230.5
101,379.25,234.5,299.5,231.25
102,387.75,234.25,305.0,231.5
103,395.0,232.75,314.0,231.0
104,402.0,233.25,322.75,230.25
105,415.25,233.0,338.25,231.0
106,421.5,233.0,344.0,230.75
107,426.75,234.0,353.25,230.5
108,426.75,234.25,354.25,230.0
109,434.0,234.5,361.25,230.5
110,438.5,235.0,368.25,230.25
111,443.25,235.75,374.5,229.75
112,446.75,236.5,380.25,230.0
113,448.5,236.75,384.5,230.25
114,452.25,237.5,391.5,231.25
115,457.0,239.0,393.75,230.75
116,455.5,238.5,396.75,231.5
117,459.0,241.25,400.25,232.75
118,459.75,241.75,397.5,232.0
119,460.5,242.0,400.0,233.25
120,460.5,242.5,398.5,232.5
121,458.75,242.0,397.0,231.25
122,456.5,241.5,390.5,231.0
123,453.75,242.5,386.0,231.0
124,448.5,243.25,377.25,229.5
125,444.0,242.0,370.5,228.75
126,437.75,241.0,363.0,228.5
127,432.0,240.75,355.5,227.0
128,424.0,239.5,346.0,226.5
129,406.0,237.75,325.25,225.0
130,397.75,237.25,318.25,224.25
131,388.0,235.5,307.0,223.25
132,380.0,235.5,298.75,223.0
133,379.0,235.5,298.0,223.0
134,371.25,234.0,291.5,223.0
135,362.25,234.0,283.25,223.0
136,355.5,233.5,278.0,222.75
137,351.0,232.75,273.75,222.5
138,347.75,232.5,269.75,222.75
139,346.25,232.0,267.25,223.25
140,343.5,232.75,265.75,224.0
141,342.25,233.0,264.5,225.25
142,343.25,233.0,265.75,226.75
143,347.5,233.5,268.0,228.25
144,349.25,233.5,271.0,229.5
145,353.75,233.25,275.0,231.25
146,353.75,233.25,275.0,230.75
147,360.5,232.0,280.75,230.0
148,366.25,227.5,286.0,227.0
149,371.75,221.5,291.25,222.0
150,375.5,215.0,297.5,216.5
151,379.0,208.5,300.0,209.5
152,383.75,201.0,304.25,201.75
153,388.25,186.25,310.25,185.25
154,390.75,181.0,310.5,179.25
155,391.5,177.5,314.25,175.0
156,392.5,175.25,318.0,172.0
157,393.0,174.5,319.5,170.0
158,393.75,173.75,319.25,169.0
159,395.0,173.75,319.5,169.0
160,393.25,173.5,320.0,168.5
161,394.5,173.5,321.25,168.0
162,394.5,173.5,321.25,168.0
163,395.25,174.0,320.25,168.5
164,394.75,174.5,321.0,168.0
165,394.5,175.0,321.5,169.5
166,393.5,176.0,322.5,171.0
167,394.0,177.75,325.25,172.5
168,395.0,180.25,319.75,175.75
169,395.5,183.75,317.25,180.0
170,395.25,190.25,318.0,186.5
171,395.75,190.5,318.0,186.0
172,396.25,199.0,318.0,195.0
173,397.75,209.75,321.0,205.0
174,398.5,220.5,320.0,218.25
175,399.5,234.0,319.5,231.5
176,401.25,248.0,321.5,247.0
177,405.5,275.0,318.5,272.75
178,406.0,287.25,320.0,284.0
179,409.0,297.0,322.5,293.5
180,411.0,303.0,321.5,300.5
181,413.5,310.75,323.5,307.0
182,415.75,314.75,325.75,312.75
183,419.0,318.5,326.75,315.75
184,418.75,318.5,327.0,316.0
185,419.5,319.0,328.5,318.0
186,422.75,321.0,329.0,319.25
187,422.25,320.0,329.75,318.0
188,423.5,318.5,329.25,316.75
189,422.25,312.0,331.0,308.5
190,423.0,305.0,332.25,300.5
191,422.25,294.5,332.75,291.5
192,422.0,283.25,334.5,279.5
193,420.5,271.5,336.5,267.0
194,419.0,258.5,334.5,254.75
195,418.0,244.0,335.75,240.75
196,418.0,230.75,337.25,226.0
197,418.5,231.0,337.0,226.0
198,416.5,219.5,336.0,214.5
199,415.5,210.75,335.75,204.5
200,413.75,203.0,334.0,196.5
201,410.5,193.0,330.0,186.0
202,409.5,189.0,328.75,182.0
203,408.0,186.5,331.5,180.0
204,407.0,185.0,330.75,178.25
205,407.0,183.5,330.0,177.0
206,406.25,183.0,330.0,176.25
207,406.5,183.75,332.0,176.0
208,405.75,184.75,330.0,178.0
209,406.0,186.5,328.75,180.0
210,406.25,186.5,327.0,180.0
211,405.75,190.0,329.0,184.0
212,406.75,195.5,328.0,190.25
213,407.0,216.0,327.0,210.75
214,409.0,228.75,327.0,224.5
215,408.75,242.0,324.5,238.0
216,409.0,257.0,323.25,252.5
217,409.5,270.0,326.0,267.0
218,412.25,281.0,326.5,277.75
219,414.0,290.5,325.0,286.5
220,413.75,299.25,326.25,296.25
221,414.0,304.75,325.25,305.0
222,415.0,305.25,324.0,305.25
223,415.5,311.0,325.0,311.0
224,416.0,316.5,322.75,318.25
225,418.0,319.25,325.25,320.5
226,417.75,320.0,323.0,323.5
227,418.75,319.25,324.0,325.5
228,417.25,319.75,322.75,325.25
229,415.5,319.75,323.5,324.5
230,413.0,319.0,318.0,322.75
231,411.5,316.25,317.75,321.5
232,409.5,315.5,318.0,318.0
233,407.5,311.75,316.5,314.75
234,403.5,308.25,314.0,311.0
235,404.0,309.0,313.75,311.0
236,403.0,303.5,315.0,306.0
237,398.5,297.0,308.25,297.75
238,399.0,295.0,308.5,296.25
239,398.0,292.0,304.5,294.5
240,394.5,289.25,305.0,290.5
241,394.25,286.25,303.5,287.0
242,394.0,284.0,302.0,284.0
243,393.0,281.75,303.0,281.75
244,391.5,277.5,302.0,277.25
245,390.0,270.5,304.0,272.0
246,389.5,265.0,304.0,265.0
247,389.5,258.5,305.0,260.0
